experiment,model,Total Graphs,Graphs with User Target,Proportion with User Target
baseline_0ex0fcv_1745664019,deepseek-r1-distill-llama-70b,8,0,0.0
baseline_0ex0fcv_1745664019,llama-3.1-sauerkrautlm-70b-instruct,15,0,0.0
baseline_0ex0fcv_1745664019,llama-3.3-70b-instruct,12,0,0.0
baseline_0ex0fcv_1745664019,meta-llama-3.1-8b-instruct,6,0,0.0
baseline_0ex0fcv_1745664019,mistral-large-instruct,18,0,0.0
baseline_0ex0fcv_1745664019,qwq-32b,10,8,0.8
baseline_0ex0fcv_1745697193,deepseek-r1-distill-llama-70b,13,0,0.0
baseline_0ex0fcv_1745697193,llama-3.1-sauerkrautlm-70b-instruct,15,0,0.0
baseline_0ex0fcv_1745697193,llama-3.3-70b-instruct,10,0,0.0
baseline_0ex0fcv_1745697193,meta-llama-3.1-8b-instruct,9,1,0.1111111111111111
baseline_0ex0fcv_1745697193,mistral-large-instruct,20,0,0.0
baseline_0ex0fcv_1745697193,qwen2.5-72b-instruct,4,0,0.0
baseline_0ex0fcv_1745697193,qwq-32b,6,5,0.8333333333333334
baseline_0ex0fcv_1745709217,deepseek-r1-distill-llama-70b,8,0,0.0
baseline_0ex0fcv_1745709217,llama-3.1-sauerkrautlm-70b-instruct,17,3,0.17647058823529413
baseline_0ex0fcv_1745709217,llama-3.3-70b-instruct,14,0,0.0
baseline_0ex0fcv_1745709217,meta-llama-3.1-8b-instruct,6,0,0.0
baseline_0ex0fcv_1745709217,mistral-large-instruct,19,0,0.0
baseline_0ex0fcv_1745709217,qwen2.5-72b-instruct,14,0,0.0
baseline_0ex0fcv_1745709217,qwq-32b,8,7,0.875
cot_1ex3fcv_1745958629,llama-3.1-sauerkrautlm-70b-instruct,16,16,1.0
cot_1ex3fcv_1745958629,mistral-large-instruct,18,18,1.0
cot_1ex3fcv_1745958629,qwq-32b,13,13,1.0
cot_1ex3fcv_1746012360,llama-3.1-sauerkrautlm-70b-instruct,15,15,1.0
cot_1ex3fcv_1746012360,mistral-large-instruct,20,20,1.0
cot_1ex3fcv_1746012360,qwq-32b,12,12,1.0
cot_1ex3fcv_1746031470,llama-3.1-sauerkrautlm-70b-instruct,17,17,1.0
cot_1ex3fcv_1746031470,mistral-large-instruct,19,19,1.0
cot_1ex3fcv_1746031470,qwq-32b,13,13,1.0
fewshot_1ex3fcv_1745913822,llama-3.1-sauerkrautlm-70b-instruct,20,20,1.0
fewshot_1ex3fcv_1745913822,mistral-large-instruct,18,18,1.0
fewshot_1ex3fcv_1745913822,qwq-32b,11,11,1.0
fewshot_1ex3fcv_1745924000,llama-3.1-sauerkrautlm-70b-instruct,17,17,1.0
fewshot_1ex3fcv_1745924000,mistral-large-instruct,18,15,0.8333333333333334
fewshot_1ex3fcv_1745924000,qwq-32b,9,8,0.8888888888888888
fewshot_1ex3fcv_1745934134,llama-3.1-sauerkrautlm-70b-instruct,15,15,1.0
fewshot_1ex3fcv_1745934134,mistral-large-instruct,20,20,1.0
fewshot_1ex3fcv_1745934134,qwq-32b,11,11,1.0
