Experiment,Model,Total Targets,targetNode (%),targetClass (%),targetSubjectsOf (%),targetObjectsOf (%)
baseline_0ex0fcv_1745697193,qwen2.5-72b-instruct,4,0.0,1.0,0.0,0.0
baseline_0ex0fcv_1745697193,deepseek-r1-distill-llama-70b,11,0.0,1.0,0.0,0.0
baseline_0ex0fcv_1745697193,qwq-32b,6,0.8333333333333334,0.16666666666666666,0.0,0.0
baseline_0ex0fcv_1745697193,llama-3.1-sauerkrautlm-70b-instruct,17,0.058823529411764705,0.9411764705882353,0.0,0.0
baseline_0ex0fcv_1745697193,llama-3.3-70b-instruct,10,0.0,1.0,0.0,0.0
baseline_0ex0fcv_1745697193,mistral-large-instruct,24,0.0,1.0,0.0,0.0
baseline_0ex0fcv_1745697193,meta-llama-3.1-8b-instruct,11,0.2727272727272727,0.7272727272727273,0.0,0.0
baseline_0ex0fcv_1745709217,qwen2.5-72b-instruct,19,0.0,0.7894736842105263,0.10526315789473684,0.10526315789473684
baseline_0ex0fcv_1745709217,deepseek-r1-distill-llama-70b,6,0.0,1.0,0.0,0.0
baseline_0ex0fcv_1745709217,qwq-32b,8,0.875,0.125,0.0,0.0
baseline_0ex0fcv_1745709217,llama-3.1-sauerkrautlm-70b-instruct,31,0.1935483870967742,0.8064516129032258,0.0,0.0
baseline_0ex0fcv_1745709217,llama-3.3-70b-instruct,17,0.0,1.0,0.0,0.0
baseline_0ex0fcv_1745709217,mistral-large-instruct,21,0.0,1.0,0.0,0.0
baseline_0ex0fcv_1745709217,meta-llama-3.1-8b-instruct,5,0.0,1.0,0.0,0.0
fewshot_1ex3fcv_1745924000,qwq-32b,9,0.8888888888888888,0.1111111111111111,0.0,0.0
fewshot_1ex3fcv_1745924000,llama-3.1-sauerkrautlm-70b-instruct,17,1.0,0.0,0.0,0.0
fewshot_1ex3fcv_1745924000,mistral-large-instruct,22,0.7272727272727273,0.2727272727272727,0.0,0.0
baseline_0ex0fcv_1745664019,deepseek-r1-distill-llama-70b,8,0.0,1.0,0.0,0.0
baseline_0ex0fcv_1745664019,qwq-32b,10,0.8,0.2,0.0,0.0
baseline_0ex0fcv_1745664019,llama-3.1-sauerkrautlm-70b-instruct,23,0.043478260869565216,0.9565217391304348,0.0,0.0
baseline_0ex0fcv_1745664019,llama-3.3-70b-instruct,6,0.0,1.0,0.0,0.0
baseline_0ex0fcv_1745664019,mistral-large-instruct,28,0.0,1.0,0.0,0.0
baseline_0ex0fcv_1745664019,meta-llama-3.1-8b-instruct,11,0.0,1.0,0.0,0.0
cot_1ex3fcv_1745958629,qwq-32b,14,0.9285714285714286,0.07142857142857142,0.0,0.0
cot_1ex3fcv_1745958629,llama-3.1-sauerkrautlm-70b-instruct,16,1.0,0.0,0.0,0.0
cot_1ex3fcv_1745958629,mistral-large-instruct,18,1.0,0.0,0.0,0.0
fewshot_1ex3fcv_1745934134,qwq-32b,11,1.0,0.0,0.0,0.0
fewshot_1ex3fcv_1745934134,llama-3.1-sauerkrautlm-70b-instruct,15,1.0,0.0,0.0,0.0
fewshot_1ex3fcv_1745934134,mistral-large-instruct,20,1.0,0.0,0.0,0.0
cot_1ex3fcv_1746031470,qwq-32b,13,1.0,0.0,0.0,0.0
cot_1ex3fcv_1746031470,llama-3.1-sauerkrautlm-70b-instruct,19,1.0,0.0,0.0,0.0
cot_1ex3fcv_1746031470,mistral-large-instruct,19,1.0,0.0,0.0,0.0
fewshot_1ex3fcv_1745913822,qwq-32b,11,1.0,0.0,0.0,0.0
fewshot_1ex3fcv_1745913822,llama-3.1-sauerkrautlm-70b-instruct,20,1.0,0.0,0.0,0.0
fewshot_1ex3fcv_1745913822,mistral-large-instruct,19,1.0,0.0,0.0,0.0
cot_1ex3fcv_1746012360,qwq-32b,12,1.0,0.0,0.0,0.0
cot_1ex3fcv_1746012360,llama-3.1-sauerkrautlm-70b-instruct,15,1.0,0.0,0.0,0.0
cot_1ex3fcv_1746012360,mistral-large-instruct,20,1.0,0.0,0.0,0.0
